,Movie_Name,Movie_Rating,Movie_Certificate,Movie_Year,Movie_Runtime,Movie_Cast,Movie_Genre,Movie_Poster,Movie_Description,Movie_Poster_HD,All_Movie_Info
0,Jai Bhim,9.5,A,2021,164 min,"Suriya, Lijo Mol Jose, Manikandan K., Rajisha Vijayan","Crime, Drama, Mystery            ","https://m.media-amazon.com/images/M/MV5BY2Y5ZWMwZDgtZDQxYy00Mjk0LThhY2YtMmU1MTRmMjVhMjRiXkEyXkFqcGdeQXVyMTI1NDEyNTM5._V1_UY98_CR5,0,67,98_AL_.jpg","When a tribal man is arrested for a case of alleged theft, his wife turns to a human-rights lawyer to help bring justice.",https://m.media-amazon.com/images/M/MV5BY2Y5ZWMwZDgtZDQxYy00Mjk0LThhY2YtMmU1MTRmMjVhMjRiXkEyXkFqcGdeQXVyMTI1NDEyNTM5._V1_.jpg,jai bhim suriya lijo mol jose manikandan k rajisha vijayan crime drama mystery when a tribal man is arrested for a case of alleged theft his wife turns to a human-rights lawyer to help bring justice
1,Soorarai Pottru,9.3,U,2020,153 min,"Suriya, Paresh Rawal, Mohan Babu, Malini Sathappan",Drama            ,"https://m.media-amazon.com/images/M/MV5BOGVjYmM0ZWEtNTFjNi00MWZjLTk3OTItMmFjMDAzZWU1ZDVjXkEyXkFqcGdeQXVyMTI2Mzk1ODg0._V1_UX67_CR0,0,67,98_AL_.jpg","Nedumaaran Rajangam ""Maara"" sets out to make the common man fly and in the process takes on the world's most capital intensive industry and several enemies who stand in his way.",https://m.media-amazon.com/images/M/MV5BODRjZGVkNWYtZWExNS00ODEyLWI2ZjUtZGRlMWQ1MDk4NDMzXkEyXkFqcGdeQXVyOTk3NTc2MzE@._V1_.jpg,"soorarai pottru suriya paresh rawal mohan babu malini sathappan drama nedumaaran rajangam ""maara"" sets out to make the common man fly and in the process takes on the world's most capital intensive industry and several enemies who stand in his way"
2,The Shawshank Redemption,9.3,A,1994,142 min,"Tim Robbins, Morgan Freeman, Bob Gunton, William Sadler",Drama            ,"https://m.media-amazon.com/images/M/MV5BMDFkYTc0MGEtZmNhMC00ZDIzLWFmNTEtODM1ZmRlYWMwMWFmXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX67_CR0,0,67,98_AL_.jpg","Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.",https://m.media-amazon.com/images/M/MV5BMDFkYTc0MGEtZmNhMC00ZDIzLWFmNTEtODM1ZmRlYWMwMWFmXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_.jpg,the shawshank redemption tim robbins morgan freeman bob gunton william sadler drama two imprisoned men bond over a number of years finding solace and eventual redemption through acts of common decency
3,The Godfather,9.2,A,1972,175 min,"Marlon Brando, Al Pacino, James Caan, Diane Keaton","Crime, Drama            ","https://m.media-amazon.com/images/M/MV5BM2MyNjYxNmUtYTAwNi00MTYxLWJmNWYtYzZlODY3ZTk3OTFlXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UY98_CR1,0,67,98_AL_.jpg",The aging patriarch of an organized crime dynasty in postwar New York City transfers control of his clandestine empire to his reluctant youngest son.,https://m.media-amazon.com/images/M/MV5BMTBhZGQzOTctNjA0NS00ZTllLWI0NWYtNzczMzlkODcxNDBjXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_.jpg,the godfather marlon brando al pacino james caan diane keaton crime drama the aging patriarch of an organized crime dynasty in postwar new york city transfers control of his clandestine empire to his reluctant youngest son
4,The Dark Knight,9.1,UA,2008,152 min,"Christian Bale, Heath Ledger, Aaron Eckhart, Michael Caine","Action, Crime, Drama            ","https://m.media-amazon.com/images/M/MV5BMTMxNTMwODM0NF5BMl5BanBnXkFtZTcwODAyMTk2Mw@@._V1_UX67_CR0,0,67,98_AL_.jpg","When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.",https://m.media-amazon.com/images/M/MV5BOTU2ODU5ZmUtNWQzNy00NjBmLTk5ZTctMmYzMzNmMzQzMzExXkEyXkFqcGdeQXVyNjQ3ODkxMjE@._V1_.jpg,the dark knight christian bale heath ledger aaron eckhart michael caine action crime drama when the menace known as the joker wreaks havoc and chaos on the people of gotham batman must accept one of the greatest psychological and physical tests of his ability to fight injustice
5,The Lord of the Rings: The Return of the King,9.0,U,2003,201 min,"Elijah Wood, Viggo Mortensen, Ian McKellen, Orlando Bloom","Action, Adventure, Drama            ","https://m.media-amazon.com/images/M/MV5BNzA5ZDNlZWMtM2NhNS00NDJjLTk4NDItYTRmY2EwMWZlMTY3XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX67_CR0,0,67,98_AL_.jpg",Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,https://m.media-amazon.com/images/M/MV5BNzA5ZDNlZWMtM2NhNS00NDJjLTk4NDItYTRmY2EwMWZlMTY3XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_.jpg,the lord of the rings: the return of the king elijah wood viggo mortensen ian mckellen orlando bloom action adventure drama gandalf and aragorn lead the world of men against sauron's army to draw his gaze from frodo and sam as they approach mount doom with the one ring
6,Schindler's List,9.0,A,1993,195 min,"Liam Neeson, Ralph Fiennes, Ben Kingsley, Caroline Goodall","Biography, Drama, History            ","https://m.media-amazon.com/images/M/MV5BNDE4OTMxMTctNmRhYy00NWE2LTg3YzItYTk3M2UwOTU5Njg4XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX67_CR0,0,67,98_AL_.jpg","In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.",https://m.media-amazon.com/images/M/MV5BNDE4OTMxMTctNmRhYy00NWE2LTg3YzItYTk3M2UwOTU5Njg4XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_.jpg,schindler's list liam neeson ralph fiennes ben kingsley caroline goodall biography drama history in german-occupied poland during world war ii industrialist oskar schindler gradually becomes concerned for his jewish workforce after witnessing their persecution by the nazis
7,The Godfather: Part II,9.0,A,1974,202 min,"Al Pacino, Robert De Niro, Robert Duvall, Diane Keaton","Crime, Drama            ","https://m.media-amazon.com/images/M/MV5BMWMwMGQzZTItY2JlNC00OWZiLWIyMDctNDk2ZDQ2YjRjMWQ0XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UY98_CR1,0,67,98_AL_.jpg","The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.",https://m.media-amazon.com/images/M/MV5BMWMwMGQzZTItY2JlNC00OWZiLWIyMDctNDk2ZDQ2YjRjMWQ0XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_.jpg,the godfather: part ii al pacino robert de niro robert duvall diane keaton crime drama the early life and career of vito corleone in 1920s new york city is portrayed while his son michael expands and tightens his grip on the family crime syndicate
8,12 Angry Men,9.0,U,1957,96 min,"Henry Fonda, Lee J. Cobb, Martin Balsam, John Fiedler","Crime, Drama            ","https://m.media-amazon.com/images/M/MV5BMWU4N2FjNzYtNTVkNC00NzQ0LTg0MjAtYTJlMjFhNGUxZDFmXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UX67_CR0,0,67,98_AL_.jpg",The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.,https://m.media-amazon.com/images/M/MV5BMWU4N2FjNzYtNTVkNC00NzQ0LTg0MjAtYTJlMjFhNGUxZDFmXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_.jpg,12 angry men henry fonda lee j cobb martin balsam john fiedler crime drama the jury in a new york city murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict
9,Dara iz Jasenovca,8.9,R,2020,130 min,"Biljana Cekic, Zlatan Vidovic, Anja Stanic, Luka Saranovic","Drama, War            ","https://m.media-amazon.com/images/M/MV5BYjA2NWY5M2YtZTZiNi00Y2IxLTk0NzgtYjQxYjYxNjVkMjM1XkEyXkFqcGdeQXVyOTIxNTAyMzU@._V1_UX67_CR0,0,67,98_AL_.jpg",Follows the story of a young girl named Dara who is sent to a concentration camp in Croatia during World War 2.,https://m.media-amazon.com/images/M/MV5BNTdjYjdkODItNzY0ZS00NjBlLWIwOTUtMGQ4MDBkZDk4YzZmXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_.jpg,dara iz jasenovca biljana cekic zlatan vidovic anja stanic luka saranovic drama war follows the story of a young girl named dara who is sent to a concentration camp in croatia during world war 2
